;Time;Robot;Move
495;195.407;robot1;a_unknown
496;195.408;robot1;a_unknown
497;195.409;robot1;a_unknown
498;195.41;robot1;a_unknown
499;195.411;robot1;a_unknown
500;195.412;robot1;a_unknown
501;195.413;robot1;a_unknown
502;195.414;robot1;a_unknown
503;195.416;robot1;a_unknown
504;195.417;robot1;a_unknown
505;195.418;robot1;a_unknown
506;195.419;robot1;a_unknown
507;195.42;robot1;a_unknown
508;195.421;robot1;a_unknown
509;195.422;robot1;a_unknown
510;195.423;robot1;a_unknown
511;195.424;robot1;a_unknown
512;195.425;robot1;a_unknown
513;195.426;robot1;a_unknown
514;195.427;robot1;a_unknown
515;195.428;robot1;a_unknown
516;195.429;robot1;a_unknown
517;195.43;robot1;a_unknown
518;195.431;robot1;a_unknown
519;195.432;robot1;a_unknown
520;195.433;robot1;a_unknown
521;195.434;robot1;a_unknown
522;195.435;robot1;a_unknown
523;195.436;robot1;a_unknown
524;195.437;robot1;a_unknown
525;195.438;robot1;a_unknown
526;195.439;robot1;a_unknown
527;195.44;robot1;a_unknown
528;195.442;robot1;a_unknown
529;195.443;robot1;a_unknown
530;195.444;robot1;a_unknown
531;195.445;robot1;a_unknown
532;195.446;robot1;a_unknown
533;195.447;robot1;a_unknown
534;195.448;robot1;a_unknown
535;195.449;robot1;a_unknown
536;195.45;robot1;a_unknown
537;195.451;robot1;a_unknown
538;195.452;robot1;a_unknown
539;195.453;robot1;a_unknown
540;195.454;robot1;a_unknown
541;195.455;robot1;a_unknown
542;195.456;robot1;a_unknown
543;195.457;robot1;a_unknown
544;195.458;robot1;a_unknown
545;195.459;robot1;a_unknown
546;195.46;robot1;a_unknown
547;195.461;robot1;a_unknown
548;195.462;robot1;a_unknown
549;195.463;robot1;a_unknown
550;195.464;robot1;a_unknown
551;195.465;robot1;a_unknown
552;195.466;robot1;a_unknown
553;195.467;robot1;a_unknown
554;195.468;robot1;a_unknown
555;195.469;robot1;a_unknown
556;195.47;robot1;a_unknown
557;195.471;robot1;a_unknown
558;195.472;robot1;a_unknown
559;195.473;robot1;a_unknown
560;195.474;robot1;a_unknown
561;195.475;robot1;a_unknown
562;195.476;robot1;a_unknown
563;195.477;robot1;a_unknown
564;195.478;robot1;a_unknown
565;195.479;robot1;a_unknown
566;195.48;robot1;a_unknown
567;195.481;robot1;a_unknown
568;195.482;robot1;a_unknown
569;195.483;robot1;a_unknown
570;195.485;robot1;a_unknown
571;195.486;robot1;a_unknown
572;195.487;robot1;a_unknown
573;195.488;robot1;a_unknown
574;195.489;robot1;a_unknown
575;195.49;robot1;a_unknown
576;195.491;robot1;a_unknown
577;195.492;robot1;a_unknown
578;195.493;robot1;a_unknown
579;195.494;robot1;a_unknown
580;195.495;robot1;a_unknown
581;195.496;robot1;a_unknown
582;195.497;robot1;a_unknown
583;195.498;robot1;a_unknown
584;195.499;robot1;a_unknown
585;195.5;robot1;a_unknown
586;195.501;robot1;a_unknown
587;195.502;robot1;a_unknown
588;195.503;robot1;a_unknown
589;195.504;robot1;a_unknown
590;195.505;robot1;a_unknown
591;195.506;robot1;a_unknown
592;195.507;robot1;a_unknown
593;195.508;robot1;a_unknown
594;195.509;robot1;a_unknown
595;195.51;robot1;a_unknown
596;195.511;robot1;a_unknown
597;195.512;robot1;a_unknown
598;195.513;robot1;a_unknown
599;195.514;robot1;a_unknown
600;195.515;robot1;a_unknown
601;195.516;robot1;a_unknown
602;195.517;robot1;a_unknown
603;195.518;robot1;a_unknown
604;195.519;robot1;a_unknown
605;195.52;robot1;a_unknown
606;195.521;robot1;a_unknown
607;195.522;robot1;a_unknown
608;195.523;robot1;a_unknown
609;195.524;robot1;a_unknown
610;195.525;robot1;a_unknown
611;195.526;robot1;a_unknown
612;195.527;robot1;a_unknown
613;195.528;robot1;a_unknown
614;195.529;robot1;a_unknown
615;195.53;robot1;a_unknown
616;195.531;robot1;a_unknown
617;195.532;robot1;a_unknown
618;195.533;robot1;a_unknown
619;195.534;robot1;a_unknown
620;195.535;robot1;a_unknown
621;195.536;robot1;a_unknown
622;195.537;robot1;a_unknown
623;195.538;robot1;a_unknown
624;195.539;robot1;a_unknown
625;195.54;robot1;a_unknown
626;195.541;robot1;a_unknown
627;195.542;robot1;a_unknown
628;195.543;robot1;a_unknown
629;195.544;robot1;a_unknown
630;195.545;robot1;a_unknown
631;195.546;robot1;a_unknown
632;195.547;robot1;a_unknown
633;195.548;robot1;a_unknown
634;195.549;robot1;a_unknown
635;195.55;robot1;a_unknown
636;195.551;robot1;a_unknown
637;195.552;robot1;a_unknown
638;195.553;robot1;a_unknown
639;195.554;robot1;a_unknown
640;195.555;robot1;a_unknown
641;195.556;robot1;a_unknown
642;195.557;robot1;a_unknown
643;195.558;robot1;a_unknown
644;195.559;robot1;a_unknown
645;195.56;robot1;a_unknown
646;195.561;robot1;a_unknown
647;195.562;robot1;a_unknown
648;195.563;robot1;a_unknown
649;195.564;robot1;a_unknown
650;195.565;robot1;a_unknown
651;195.566;robot1;a_unknown
652;195.567;robot1;a_unknown
653;195.568;robot1;a_unknown
654;195.569;robot1;a_unknown
655;195.57;robot1;a_unknown
656;195.571;robot1;a_unknown
657;195.572;robot1;a_unknown
658;195.573;robot1;a_unknown
659;195.574;robot1;a_unknown
660;195.575;robot1;a_unknown
661;195.576;robot1;a_unknown
662;195.577;robot1;a_unknown
663;195.578;robot1;a_unknown
664;195.579;robot1;a_unknown
665;195.58;robot1;a_unknown
666;195.581;robot1;a_unknown
667;195.582;robot1;a_unknown
668;195.583;robot1;a_unknown
669;195.584;robot1;a_unknown
670;195.585;robot1;a_unknown
671;195.586;robot1;a_unknown
672;195.587;robot1;a_unknown
673;195.588;robot1;a_unknown
674;195.589;robot1;a_unknown
675;195.59;robot1;a_unknown
676;195.591;robot1;a_unknown
677;195.592;robot1;a_unknown
678;195.593;robot1;a_unknown
679;195.594;robot1;a_unknown
680;195.595;robot1;a_unknown
681;195.596;robot1;a_unknown
682;195.597;robot1;a_unknown
683;195.599;robot1;a_unknown
684;195.6;robot1;a_unknown
685;195.601;robot1;a_unknown
686;195.602;robot1;a_unknown
687;195.603;robot1;a_unknown
688;195.604;robot1;a_unknown
689;195.605;robot1;a_unknown
690;195.606;robot1;a_unknown
691;195.607;robot1;a_unknown
692;195.608;robot1;a_unknown
693;195.609;robot1;a_unknown
694;195.61;robot1;a_unknown
695;195.611;robot1;a_unknown
696;195.612;robot1;a_unknown
697;195.613;robot1;a_unknown
698;195.614;robot1;a_unknown
699;195.615;robot1;a_unknown
700;195.616;robot1;a_unknown
701;195.617;robot1;a_unknown
702;195.618;robot1;a_unknown
703;195.619;robot1;a_unknown
704;195.62;robot1;a_unknown
705;195.622;robot1;a_unknown
706;195.623;robot1;a_unknown
707;195.624;robot1;a_unknown
708;195.625;robot1;a_unknown
709;195.626;robot1;a_unknown
710;195.627;robot1;a_unknown
711;195.628;robot1;a_unknown
712;195.629;robot1;a_unknown
713;195.63;robot1;a_unknown
714;195.631;robot1;a_unknown
715;195.632;robot1;a_unknown
716;195.633;robot1;a_unknown
717;195.634;robot1;a_unknown
718;195.635;robot1;a_unknown
719;195.636;robot1;a_unknown
720;195.637;robot1;a_unknown
721;195.638;robot1;a_unknown
722;195.639;robot1;a_unknown
723;195.64;robot1;a_unknown
724;195.641;robot1;a_unknown
725;195.642;robot1;a_unknown
726;195.643;robot1;a_unknown
727;195.644;robot1;a_unknown
728;195.645;robot1;a_unknown
729;195.646;robot1;a_unknown
730;195.647;robot1;a_unknown
731;195.648;robot1;a_unknown
732;195.649;robot1;a_unknown
733;195.65;robot1;a_unknown
734;195.651;robot1;a_unknown
735;195.652;robot1;a_unknown
736;195.654;robot1;a_unknown
737;195.656;robot1;a_unknown
738;195.657;robot1;a_unknown
739;195.658;robot1;a_unknown
740;195.659;robot1;a_unknown
741;195.66;robot1;a_unknown
742;195.661;robot1;a_unknown
743;195.662;robot1;a_unknown
744;195.664;robot1;a_unknown
745;195.665;robot1;a_unknown
746;195.666;robot1;a_unknown
747;195.667;robot1;a_unknown
748;195.668;robot1;a_unknown
749;195.669;robot1;a_unknown
750;195.67;robot1;a_unknown
751;195.671;robot1;a_unknown
752;195.672;robot1;a_unknown
753;195.673;robot1;a_unknown
754;195.674;robot1;a_unknown
755;195.675;robot1;a_unknown
756;195.676;robot1;a_unknown
757;195.677;robot1;a_unknown
758;195.678;robot1;a_unknown
759;195.679;robot1;a_unknown
760;195.68;robot1;a_unknown
761;195.681;robot1;a_unknown
762;195.682;robot1;a_unknown
763;195.683;robot1;a_unknown
764;195.684;robot1;a_unknown
765;195.685;robot1;a_unknown
